dim1,dim2,label,color,fontcolor,size,fontsize,party
2.8781486,-0.59017944,einkommen,#900C3F,#900C3F,10,12,Linke
-7.1579514,-14.122319,fordern,#21a1ff,#21a1ff,10,12,AFD
7.0710077,2.1930425,schule,#21a1ff,#21a1ff,10,12,AFD
-5.5819535,-4.973122,bund,#cc0000,#cc0000,10,12,SPD
-5.285684,-2.0057716,erreichen,#cc0000,#cc0000,10,12,SPD
9.310217,-3.8076699,grün,#029e00,#029e00,10,12,Gruene
3.6915298,3.0468423,zugang,#900C3F,#900C3F,10,12,Linke
-7.013775,-12.35479,bürgern,#ffe800,#ffe800,10,12,FDP
6.666806,4.4482965,milliarde,#900C3F,#900C3F,10,12,Linke
5.164759,-1.7643592,euro,#900C3F,#900C3F,10,12,Linke
14.440997,6.1154327,abgeordnete,#21a1ff,#21a1ff,10,12,AFD
-6.264513,-4.2570534,schutz,#029e00,#029e00,10,12,Gruene
-5.886044,7.216946,wettbewerb,#ffe800,#ffe800,10,12,FDP
-10.466502,-10.837796,stärken,#029e00,#029e00,10,12,Gruene
-4.257637,1.373419,beitrag,#343434,#343434,10,12,CDUCSU
-6.1487994,8.682238,demokrat,#ffe800,#ffe800,10,12,FDP
6.436081,2.0429862,gewährleisten,#ffe800,#ffe800,10,12,FDP
13.664943,7.6949363,gender,#21a1ff,#21a1ff,10,12,AFD
-1.5958247,4.0231633,weltweit,#343434,#343434,10,12,CDUCSU
-8.499197,-8.914819,stehen,#343434,#343434,10,12,CDUCSU
-6.2642756,8.662058,liberale,#ffe800,#ffe800,10,12,FDP
-7.3991976,-9.584284,bleiben,#343434,#343434,10,12,CDUCSU
5.0374117,9.725576,daseinsvorsorge,#900C3F,#900C3F,10,12,Linke
-7.2821574,-5.650109,gelten,#ffe800,#ffe800,10,12,FDP
-0.9485026,2.6170347,investition,#cc0000,#cc0000,10,12,SPD
13.796915,7.123073,ezb,#21a1ff,#21a1ff,10,12,AFD
-11.839663,-9.184081,arbeit,#900C3F,#900C3F,10,12,Linke
-5.4385023,-3.974119,ermöglichen,#ffe800,#ffe800,10,12,FDP
14.238418,7.3959875,islam,#21a1ff,#21a1ff,10,12,AFD
4.6706986,9.266923,kriegen,#900C3F,#900C3F,10,12,Linke
2.0436685,2.1864035,nachhaltig,#029e00,#029e00,10,12,Gruene
1.8658696,-0.8979729,bürgerin,#900C3F,#900C3F,10,12,Linke
-2.4035888,-0.49337232,bundesrepublik,#cc0000,#cc0000,10,12,SPD
8.133171,4.741397,bevölkerung,#21a1ff,#21a1ff,10,12,AFD
-11.096861,-11.56177,schaffen,#029e00,#029e00,10,12,Gruene
7.659559,9.3404,linke,#900C3F,#900C3F,10,12,Linke
14.151705,6.710851,abs,#21a1ff,#21a1ff,10,12,AFD
-6.76463,-14.535809,afd,#21a1ff,#21a1ff,10,12,AFD
4.091185,7.6715097,behinderung,#900C3F,#900C3F,10,12,Linke
-3.4130907,8.397814,sozialdemokratisch,#cc0000,#cc0000,10,12,SPD
1.94649,2.5679967,schützen,#029e00,#029e00,10,12,Gruene
-9.115285,-9.137694,europäisch,#ffe800,#ffe800,10,12,FDP
4.2406754,-1.5471786,prozent,#900C3F,#900C3F,10,12,Linke
1.9928453,0.5019424,kultur,#900C3F,#900C3F,10,12,Linke
-5.0677223,-4.499609,möglichkeit,#ffe800,#ffe800,10,12,FDP
5.612368,8.865111,gewerkschaft,#900C3F,#900C3F,10,12,Linke
9.566882,-3.8969193,die,#029e00,#029e00,10,12,Gruene
-5.252027,3.6832826,modern,#cc0000,#cc0000,10,12,SPD
-11.618625,-11.230949,brauchen,#029e00,#029e00,10,12,Gruene
3.9172103,5.475716,global,#029e00,#029e00,10,12,Gruene
-6.9375854,8.602152,liberal,#ffe800,#ffe800,10,12,FDP
-1.9091588,0.9827277,rahmen,#ffe800,#ffe800,10,12,FDP
13.1917925,7.265552,zuwanderung,#21a1ff,#21a1ff,10,12,AFD
12.042818,7.5242624,kapitel,#21a1ff,#21a1ff,10,12,AFD
-4.605501,-3.2228863,notwendig,#ffe800,#ffe800,10,12,FDP
2.2941315,3.040066,nehmen,#029e00,#029e00,10,12,Gruene
5.7290726,1.3424281,national,#21a1ff,#21a1ff,10,12,AFD
6.0761533,2.997076,zahlen,#21a1ff,#21a1ff,10,12,AFD
-0.11035889,0.876573,hören,#ffe800,#ffe800,10,12,FDP
-10.343031,-9.253148,unternehmen,#ffe800,#ffe800,10,12,FDP
-8.282116,-6.075857,bildung,#900C3F,#900C3F,10,12,Linke
2.694259,-0.115220174,gleich,#900C3F,#900C3F,10,12,Linke
12.108144,6.3152003,art,#21a1ff,#21a1ff,10,12,AFD
-0.9469775,1.7835984,ausbildung,#ffe800,#ffe800,10,12,FDP
3.7368228,4.673312,teilhabe,#029e00,#029e00,10,12,Gruene
-7.45674,-13.623544,deutsch,#21a1ff,#21a1ff,10,12,AFD
-6.720068,-4.9504933,europäische,#ffe800,#ffe800,10,12,FDP
0.051635522,2.163675,wirksam,#900C3F,#900C3F,10,12,Linke
3.9733133,8.748778,kommunal,#900C3F,#900C3F,10,12,Linke
7.1617265,3.0519428,lassen,#029e00,#029e00,10,12,Gruene
14.070343,6.1392384,afrika,#21a1ff,#21a1ff,10,12,AFD
-7.655208,-8.634965,wirtschaft,#cc0000,#cc0000,10,12,SPD
-11.170417,-10.865031,gesellschaft,#029e00,#029e00,10,12,Gruene
-1.7968445,-1.5678341,ausbauen,#cc0000,#cc0000,10,12,SPD
-6.0878477,-7.553276,gut,#cc0000,#cc0000,10,12,SPD
-1.2355208,6.6933556,regelung,#ffe800,#ffe800,10,12,FDP
0.7610165,5.4459586,stadt,#cc0000,#cc0000,10,12,SPD
-3.6063516,-4.096985,privat,#ffe800,#ffe800,10,12,FDP
4.225936,7.9144073,demokratische,#900C3F,#900C3F,10,12,Linke
-10.368937,-11.7001505,kind,#029e00,#029e00,10,12,Gruene
-5.886277,4.8424807,arbeitnehmer,#cc0000,#cc0000,10,12,SPD
-1.2531542,0.54661447,reform,#ffe800,#ffe800,10,12,FDP
-8.011973,-6.700198,stellen,#029e00,#029e00,10,12,Gruene
9.269639,4.2592654,abschaffen,#900C3F,#900C3F,10,12,Linke
-3.9796834,3.7418935,sicherung,#cc0000,#cc0000,10,12,SPD
1.3694967,3.4929893,umwelt,#029e00,#029e00,10,12,Gruene
-7.168016,-9.727601,wirtschaftlich,#343434,#343434,10,12,CDUCSU
9.471443,-4.1598716,90,#029e00,#029e00,10,12,Gruene
-1.4259694,0.23557493,ausbau,#cc0000,#cc0000,10,12,SPD
11.923954,5.620991,sogenannt,#21a1ff,#21a1ff,10,12,AFD
4.8488975,9.6873255,löhne,#900C3F,#900C3F,10,12,Linke
-2.0197382,6.592706,einzeln,#ffe800,#ffe800,10,12,FDP
7.352481,0.46779054,partei,#21a1ff,#21a1ff,10,12,AFD
15.144377,6.76168,windenergieanlagen,#21a1ff,#21a1ff,10,12,AFD
-3.0711534,2.9795964,erfolgen,#ffe800,#ffe800,10,12,FDP
-6.532867,-1.6403917,leistung,#ffe800,#ffe800,10,12,FDP
0.8789048,2.7186897,gestalten,#029e00,#029e00,10,12,Gruene
3.1741025,4.0157638,mann,#029e00,#029e00,10,12,Gruene
-9.679057,1.0179449,cdu,#343434,#343434,10,12,CDUCSU
-0.41454914,-0.7557983,und,#343434,#343434,10,12,CDUCSU
-11.459487,-10.45503,leben,#029e00,#029e00,10,12,Gruene
6.7250214,3.4067667,problem,#21a1ff,#21a1ff,10,12,AFD
1.8564272,4.343507,region,#900C3F,#900C3F,10,12,Linke
-7.545702,-13.160116,staat,#ffe800,#ffe800,10,12,FDP
7.3106036,-0.14798656,lehnen,#21a1ff,#21a1ff,10,12,AFD
13.146466,5.91929,ehe,#21a1ff,#21a1ff,10,12,AFD
7.5313396,2.3588226,bestehend,#21a1ff,#21a1ff,10,12,AFD
8.916243,-3.707622,bündnis,#029e00,#029e00,10,12,Gruene
-3.0774808,5.3257794,marktwirtschaft,#343434,#343434,10,12,CDUCSU
6.8504057,1.4699858,gesetz,#21a1ff,#21a1ff,10,12,AFD
13.920719,5.3948674,freiheitlich,#21a1ff,#21a1ff,10,12,AFD
12.439128,5.510493,alternativ,#21a1ff,#21a1ff,10,12,AFD
-2.719345,6.087342,verbesserung,#ffe800,#ffe800,10,12,FDP
5.078698,10.172821,vergleiche,#900C3F,#900C3F,10,12,Linke
-2.7534337,2.7641108,hilfe,#cc0000,#cc0000,10,12,SPD
7.657189,2.4628346,führen,#21a1ff,#21a1ff,10,12,AFD
-7.381399,8.549267,fdp,#ffe800,#ffe800,10,12,FDP
-1.2858292,6.6794376,erforderlich,#ffe800,#ffe800,10,12,FDP
4.8215666,8.792803,ostdeutschland,#900C3F,#900C3F,10,12,Linke
-9.077914,-10.695934,zielen,#cc0000,#cc0000,10,12,SPD
-3.7742999,1.4161707,leisten,#343434,#343434,10,12,CDUCSU
-9.826973,-13.634544,deutschland,#343434,#343434,10,12,CDUCSU
