"text","cmp_code","eu_code"
"Dazu gehört auch, die Freiheiten zu verteidigen, die wir heute in Deutschland selbstverständlich genießen.","201",NA
"Wir sind nicht dazu bereit, Bürgerrechte für eine trügerische Sicherheit aufzugeben.","602",NA
"Wir Liberale stehen für eine Politik, die vom Respekt vor den Bürgerrechten","201",NA
"und der Verfassung geprägt ist.","203",NA
"Für Deutschlands Zukunftsfähigkeit ist es zentral, allen Bürgerinnen und Bürgern gleiche Chancen auf freie Entfaltung zu eröffnen.","503",NA
"Verantwortungsvolle Bürgerinnen und Bürger wissen, dass der Staat ihnen nicht alle Mühen abnimmt.","401",NA
"Aber sie müssen darauf vertrauen können, dass er ihnen nicht noch zusätzliche Lasten aufbürdet.","401",NA
"Die FDP ist der Anwalt der Mitte der Gesellschaft.","704",NA
"Die Mitte steht gegen Extreme, aber sie ist mehr als etwas zwischen links und rechts.","704",NA
"Sie ist vor allem eines: eine Grundhaltung.","704",NA
"Für sie sind Leistungsbereitschaft, Fleiß und Aufstiegswille keine Fremdwörter.","401",NA
"Ihr Denken in Generationen und sozialen Zusammenhängen, ihr Verantwortungsbewusstsein und ihr Fleiß, ihre Eigenverantwortung und der starke Leistungswille sind das Fundament unserer Gesellschaft.","401",NA
"Die FDP ist der Partner der Mitte.","704",NA
"Denn es sind diese Menschen, die unsere Gemeinschaft starkmachen.","704",NA
"Sie kümmern sich um eine gute Ausbildung ihrer Kinder, sorgen für die Familie vor und leben Solidarität mit den Schwachen.","704",NA
"Umweltbewusstsein und ein ausgeprägtes Gefühl für Gerechtigkeit sind für die Mitte der Gesellschaft selbstverständlich.","503",NA
"Die Gängelung der Mitte muss aufhören, damit sich Leistung endlich wieder lohnt.","401",NA
"Dies trifft insbesondere für den Mittelstand zu, denn Mittelstand ist keine betriebswirtschaftliche Recheneinheit.","704",NA
"Mittelstand ist eine Geisteshaltung.","704",NA
"Mit Pioniersinn und Patriotismus, Mut und Verantwortungsgefühl hat der Mittelstand unser Land einst wieder aufgebaut und das deutsche Wirtschaftswunder möglich gemacht.","704",NA
"Wer morgens früher aufsteht, wer sich und anderen auf eigenes Risiko eine Existenz aufbaut, wer selbst vorsorgt, nicht fragt, was der Staat ihm schuldet, sondern was er für andere erreichen kann, der verdient den Respekt aller und braucht politischen Rückenwind.","401",NA
"Diese mittelständischen Tugenden sind auch heute gefragt, um unser Land weiter nach vorn zu bringen.","401",NA
"Ohne solche Menschen, die ein umfassendes Versorgungsprinzip vorleben, kann es keine freiheitliche Gesellschaft geben.","704",NA
"Der Mittelstand steht für Freiheit und Verantwortung.","401",NA
"Deutschland braucht eine Politik, die den Mittelstand stärkt und nicht schwächt.","403",NA
"Die FDP will den Wohlstand in Deutschland nicht nur erhalten, sondern alle Menschen daran teilhaben lassen.","503",NA
"Wenn die Mitte wieder gestärkt wird, werden diejenigen belohnt, die sich anstrengen und ihre Chancen ergreifen.","401",NA
"Hierzu hat Deutschland bereits ein bewährtes und solides Erfolgskonzept: die Soziale Marktwirtschaft.","403",NA
"Wir halten es für falsch, ihre Leistungsfähigkeit in Frage zu stellen","403",NA
"und immer neue und weitergehende staatliche Regulierungen zu fordern.","401",NA
"Deutschland braucht nicht weniger, sondern mehr Soziale Marktwirtschaft.","403",NA
"Die Geschichte hat gezeigt, dass die Soziale Marktwirtschaft am besten dauerhaften Wohlstand schaffen kann.","403",NA
"Wir setzen uns für einen staatlichen Regelungsrahmen ein, der den Missbrauch von Marktmacht wirksam verhindert,","403",NA
"den Bürgern jedoch ihre Eigenverantwortung lässt.","401",NA
"Wir setzen Eigenverantwortung gegen die Bevormundung durch die bürokratischen Auswüchse des sozialdemokratischen Wohlfahrtsstaates.","401",NA
"Wir sind für den liberalen Sozialstaat.","401",NA
"Die zentrale Staatsaufgabe ist nicht die Schaffung absoluter Gleichheit, sondern die Sicherung von Chancen- und Leistungsgerechtigkeit für alle Menschen.","503",NA
"Unsere Politik der Freiheit schafft Wohlstand durch fairen Wettbewerb","403",NA
"und ein eigenverantwortliches, gesellschaftliches Miteinander.","505",NA
"Nur so können die sozialen Sicherungssysteme, wie das Gesundheitswesen, leistungsfähig und bezahlbar bleiben.","504",NA
"Die Politik der staatlich verordneten Gleichheit hat bisher immer zu Unfreiheit geführt.","201",NA
"Solidarität braucht Eigenverantwortung.","505",NA
"Wir wollen durch einen Ordnungsrahmen einen Beitrag dazu leisten, dass jeder Mensch in Freiheit seine Chancen erkunden und daraus eigenverantwortlich seine Werte finden und sein Glück verfolgen kann:","401",NA
"Liberale wollen eine solidarische Gesellschaft.","606",NA
"Im Gegensatz zu anderen denken wir bei Solidarität nicht zuallererst an das Verteilen vom Geld anderer Leute, sondern an das Eintreten füreinander in der Familie, im sozialen Umfeld und erst zuletzt durch den Staat.","505",NA
"Zu einem eigenverantwortlichen Leben gehört auch, sich selbst versorgen zu können.","505",NA
"Neid, Missgunst und Missmut setzen wir Mut und Anerkennung für Leistung entgegen.","401",NA
"Leistung muss sich lohnen.","401",NA
"Die FDP will den Bürgerinnen und Bürgern wieder mehr ihres hart erarbeiteten Geldes belassen.","414",NA
"Wir wollen einfache, niedrige und gerechte Steuern für mehr Netto vom Brutto.","414",NA
"Für Liberale gilt: Bildung ist Bürgerrecht.","506",NA
"Nur gute Bildung ermöglicht gesellschaftliche Teilhabe und befähigt zu einem freiheitlichen und selbstbestimmten Leben.","506",NA
"Wir Liberale stehen für den Wettbewerb um die besten Lösungen und für Vielfalt, die die Begabungen der Kinder fördert und für alle einen möglichst großen Lernerfolg bietet.","506",NA
"Nur gute Bildung schafft die Grundlage für Innovationen und gesellschaftliche Entwicklung.","506",NA
"Wir maßen uns nicht an, die Zukunft zu kennen.","411",NA
"Wir sind aber sicher, dass das kreative Ringen um neue Lösungen der beste Weg ist, um unsere Zukunft zu gestalten.","411",NA
"Denkverbote sind nicht nur in der Forschung fehl am Platz.","411",NA
"Politik muss im Umgang mit natürlichen Ressourcen technologieoffen und ideologiefrei gestaltet werden.","411",NA
"Daher setzen wir auch in der Umwelt- und Energiepolitik auf Fortschritt durch moderne Technik.","411",NA
"Eine intensive internationale Vernetzung Deutschlands ist sowohl Voraussetzung für unsere wirtschaftliche Stärke als auch Garant für unsere Sicherheit und die Bewahrung unserer Werte.","107",NA
"Deshalb muss deutsche Außenpolitik die Globalisierung aktiv mitgestalten.","107",NA
"Dies wird am besten dann gelingen, wenn wir den Schulterschluss mit den europäischen und transatlantischen Partnern suchen.","107",NA
"Mit ihnen wollen wir neue Impulse in der Abrüstung setzen und dadurch für dauerhaften Frieden sorgen.","106",NA
"In unserer multipolaren Welt, in der sich derzeit große außenpolitische Herausforderungen mit einer Weltwirtschaftskrise und einem politischen Neuanfang in den USA kreuzen, ist mehr internationale Kooperation notwendig und machbar.","107",NA
"Neue aufstrebende Mächte müssen in die gemeinsame Wahrnehmung von globaler Verantwortung eingebunden und internationale Organisationen entsprechend reformiert werden.","107",NA
"Auf der Suche nach den besten Konzepten für die Zukunft Deutschlands setzt die FDP auf den Dialog mit den Bürgerinnen und Bürgern.","202",NA
"Wir wollen bei den Menschen für die Chancen der Freiheit werben und uns von der Kreativität und Innovationsfähigkeit der Menschen anregen lassen.","201",NA
"Nur durch intensiven Austausch kann das Wissen aller in konkrete Politik umgesetzt werden.","202",NA
"Unser Programm soll den Bürgerinnen und Bürgern die Angst vor der Zukunft nehmen und die Chancen der Freiheit aufzeigen.","201",NA
"Gerade die Mitte der Gesellschaft besitzt großes Potenzial, das in den letzten Jahren mehr und mehr gehemmt wurde.","704",NA
"Es braucht jetzt den Mut für Veränderungen.",NA,NA
"Freiheit braucht Mut, und die FDP hat den Mut, an ihrer Vision einer liberalen Bürgergesellschaft festzuhalten.","201",NA
"Politik braucht Vertrauen.",NA,NA
"Wir sind davon überzeugt: Liberale Politik verdient Vertrauen.","305",NA
"Dafür werben wir mit unserem Programm zur Bundestagswahl 2009.","305",NA
"2. Mehr Freiheit und Fairness durch Soziale Marktwirtschaft Grundsätze der Sozialen Marktwirtschaft","403",NA
"Unsere wirtschaftspolitische Leitlinie ist die Soziale Marktwirtschaft.","403",NA
"Sie greift weit über ökonomische Ziele hinaus, ist ein unverzichtbarer Teil einer freiheitlichen offenen Gesellschaft.","403",NA
"Wir Liberale achten, schützen und verteidigen die Wirtschaftsordnung der Sozialen Marktwirtschaft mit aller Kraft.","403",NA
"Das System der Sozialen Marktwirtschaft hat nicht nur zu großem Wohlstand breiter Bevölkerungsgruppen, sondern auch zu einem einmaligen sozialen Frieden in der Bundesrepublik Deutschland geführt.","403",NA
"Die staatliche Ordnungspolitik setzt für die Soziale Marktwirtschaft die Rahmenbedingungen.","403",NA
"Deren oberstes Ziel muss sein, dass Bürger und Unternehmen ihre produktiven Kräfte entfalten können.","401",NA
"Dabei ist es eine Daueraufgabe des Staates, diesen Ordnungsrahmen den gesellschaftlichen und wirtschaftlichen Entwicklungen anzupassen und zu verbessern.","403",NA
"Das freie wirtschaftliche Handeln der Bürger ist die Grundlage der Sozialen Marktwirtschaft","401",NA
"und der Motor für Wachstum und Wohlstand.","410",NA
"Die Menschen in der gesellschaftlichen Mitte verwirklichen den Kerngedanken der Sozialen Marktwirtschaft in beispielhafter Weise.","704",NA
"Jeder Arbeitnehmer und jeder Unternehmer, der mit seiner täglichen Arbeit den Unterhalt für sich, seine Familie und über Steuern und Abgaben für sozial Benachteiligte sichert, schafft Wohlstand und Sicherheit für alle.","704",NA
"Sozialpolitik soll die Menschen zu mehr Teilhabe befähigen und Sicherheit vor großen Lebensrisiken schaffen.","503",NA
"Wir Liberale wissen, dass eine staatliche Absicherung des Existenzminimums notwendig ist.","504",NA
"Jeder kann in eine Situation geraten, in der er ohne Unterstützung nicht mehr weiter kann.","504",NA
"Bequemlichkeit honorieren wir nicht.","505",NA
"Ziel liberaler Sozialpolitik ist es, allen Bürgern selbstbestimmtes und eigenverantwortliches Handeln zu ermöglichen.","505",NA
"Ein neues Steuer- und Transfersystem für Deutschland",NA,NA
"Die FDP macht sich deshalb stark für ein Steuersystem, das soziale Gerechtigkeit,","503",NA
"staatliche Fairness","503",NA
"und eine nachhaltige Finanzpolitik vereint.","414",NA
"Gemeinsam mit dem leistungsgerechten Bürgergeld folgt dieses Gesamt-Steuer- und Transfersystem durchgehend den Prinzipien der Leistungsgerechtigkeit und Leistungsbelohnung","503",NA
"und vermeidet Missbrauch zu Lasten der Bürgergemeinschaft.","303",NA
"Eine gerechte Steuer muss auf Ausnahmen und Sonderregelungen für Einzelfälle weitestgehend verzichten:","303",NA
"Gleich hohe Einkommen werden auch gleich besteuert.","503",NA
"Pauschalen ersetzen die heute nur mit komplizierten Nachweisen und hohem bürokratischem Aufwand zu verwaltenden Individualvorschriften.","303",NA
"Unser einfacher und verständlicher Stufentarif mit Grundfreibetrag (Steuersatz 0 Prozent) und den drei weiteren Stufen von 10, 25 und 35 Prozent senkt die Steuerbelastung","414",NA
"und schafft den dringend benötigten finanziellen Spielraum für Bürger und Unternehmen: für mehr privaten Konsum, für Vorsorge für Alter, Gesundheit und Pflege, als Impuls für Wachstum und Investitionen.","410",NA
"Dazu erhält jeder Bürger – ob Erwachsener oder Kind – einen Grundfreibetrag von 8.004 Euro.","414",NA
"Für Einkommen, das den Grundfreibetrag übersteigt, gilt für die ersten 20.000 Euro zu versteuerndem Einkommen ein Steuersatz von 10 Prozent, für Einkommensteile zwischen 20.000 Euro und 50.000 Euro ein Steuersatz von 25 Prozent, für Einkommensteile ab 50.000 Euro ein Steuersatz von 35 Prozent.","414",NA
"Einkommenssteigerungen führen wegen des progressiven Tarifverlaufs zu einem höheren Steuersatz und damit zu einer höheren Steuerbelastung.","414",NA
"Durch die inflationsbedingte so genannte kalte Progression werden höhere Leistungen der Bürger bestraft.","401",NA
"Aus diesem Grund wird der Gesetzgeber verpflichtet, gemeinsam mit dem Existenzminimumsbericht, indem alle zwei Jahre die Höhe des steuerlichen Grundfreibetrags und des Kinderfreibetrags überprüft wird, auch den Steuertarif zu überprüfen und gegebenenfalls anzupassen.","414",NA
"Eine optionale zweijährige Veranlagungsfrist vermindert den Erklärungsaufwand für die Bürger und macht zahlreiche Gestaltungsüberlegungen, wie beispielsweise die willkürliche Aufteilung von Handwerkerrechnungen über den Jahreswechsel, überflüssig.","303",NA
"Als Werbungskosten abzugsfähig sind die Kosten, die mit den Einkünften aus wirtschaftlicher Betätigung im Zusammenhang stehen.","414",NA
"Für Arbeitnehmer werden berufsbedingte Kosten aus Vereinfachungsgründen ohne Nachweis durch eine Aufwendungspauschale berücksichtigt.","303",NA
"Uneingeschränkt abziehbar sind Beiträge zur sozialen Absicherung bis zur Beitragsbemessungsgrenze.","414",NA
"Die Einbeziehung der privaten Veräußerungsgewinne in die Abgeltungsteuer lehnt die FDP ab.","414",NA
"Für Gewinne aus Aktienverkäufen sollte eine Spekulationsfrist eingeführt werden.","414",NA
"Nur Gewinne innerhalb dieser Frist sollten der Abgeltungsteuer unterliegen.","414",NA
"Veräußerungsgewinne aus Anlagen, die der Altersvorsorge dienen und langfristig gebunden sind, sind steuerfrei.","414",NA
"Familien entlasten",NA,NA
"Ein neues, leistungsgerechtes Steuerrecht ist besonders für Familien dringend notwendig:","603",NA
"Familienbedingte finanzielle Lasten werden im geltenden Steuerrecht nicht angemessen berücksichtigt.","603",NA
"Beim liberalen Konzept einer gerechten Steuer gewinnen Familien in mehrfacher Hinsicht.","603",NA
"Ehepartner erreichen die jeweils nächst höhere Tarifstufe bei doppeltem Einkommen.","603",NA
"Die Einführung eines Grundfreibetrags von 8.004 Euro für Erwachsene und Kinder bedeutet für viele Familien, dass sie keine Einkommensteuer mehr zahlen müssen.","603",NA
"Das Kindergeld wird auf 200 Euro pro Kind und Monat für die Familien angehoben, die den Kinderfreibetrag wegen zu geringen Einkommens nicht nutzen können.","504",NA
"Unter Berücksichtigung der Werbungskostenpauschale und der Abzugsfähigkeit der Vorsorgeaufwendungen ist eine vierköpfige Familie noch bei einem Familieneinkommen von 40.700 Euro steuerfrei.","603",NA
"Kinderbetreuungskosten und Pflegekosten können bis zu 12.000 Euro im Jahr gegen Nachweis der Kosten von der Steuer abgesetzt werden.","603",NA
"Die Steuerklasse V, die die Aufnahme einer Erwerbstätigkeit besonders für Frauen nach einer Familienpause steuerlich häufig unattraktiv erscheinen lässt, wird abgeschafft.","401",NA
"Wettbewerbsfähige Unternehmensbesteuerung",NA,NA
"Deutschland braucht eine international wettbewerbsfähige Besteuerung seiner Unternehmen.","402",NA
"Die deutschen Unternehmen brauchen kein Schönwettersteuerrecht, sondern Regelungen, die sich auch in der Krise bewähren.","414",NA
"Die Fehler der Unternehmensteuerreform 2008 werden beseitigt.","414",NA
"Die Zinsschranke, die Einschränkung der Verlustnutzung bei Übernahmen und Sanierungen, die Bestrafung von Investitionen im Ausland (Funktionsverlagerung) und die Hinzurechnungsvorschriften von Zinsen, Mieten, Pachten, Leasing- und Lizenzgebühren zur Bemessungsgrundlage in der Gewerbesteuer wirken krisenverschärfend und werden wieder abgeschafft.","402",NA
"Die degressive AfA (Absetzung für Abnutzung) wird wieder eingeführt, ebenso wie die Sofortabschreibung geringwertiger Wirtschaftsgüter.","402",NA
"Sie wird auf 1.000 Euro angehoben.","402",NA
"Das bringt zusätzlich Liquidität gerade für kleine und mittlere Unternehmen und hilft ihnen, Krisensituationen zu überwinden.","403",NA
"Die Steuerbelastung für Unternehmen darf das durchschnittliche Besteuerungsniveau der entwickelten Industrieländer nicht übersteigen, sonst ist die Wettbewerbsfähigkeit der deutschen Wirtschaft gefährdet.","402",NA
"Eine gerechte Unternehmensteuer verhält sich neutral gegenüber Rechtsform-, Finanzierungs- und Umstrukturierungsentscheidungen in Unternehmen.","414",NA
"Für Unternehmen gleich welcher Rechtsform gilt ein Zwei-Stufen-Tarif von 10 und 25 Prozent.","414",NA
"Für Kapitalgesellschaften mit einem Gewinn von über 20.000 Euro wird die Körperschaftsteuer von 15 Prozent im geltenden Recht auf 25 Prozent angehoben.","414",NA
"Im Gegenzug wird die Gewerbesteuer ersetzt durch ein Konzept der Kommunalfinanzierung, das für die Gemeinden ein ausreichendes Finanzierungsniveau gewährleistet und ihnen stetige Einnahmen sichert.","414",NA
"Eine GmbH wird auf Antrag wie eine Personengesellschaft besteuert.","414",NA
"Diese Möglichkeit schafft besonders für kleine und mittlere Familien-Kapitalgesellschaften mehr Rechtsformneutralität","403",NA
"und macht die komplizierten Regelungen zur verdeckten Gewinnausschüttung überflüssig.","303",NA
"Die FDP fordert die Umstellung der Umsatzsteuer von der Soll- auf die Ist-Besteuerung.","414",NA
"Es ist doch nur gerecht, wenn Unternehmen ihre Steuer erst dann abführen müssen, wenn ihre Rechnung auch bezahlt ist.","414",NA
"Das stärkt die Liquidität insbesondere von kleinen und mittleren Unternehmen.","403",NA
"Wenn auch die Vorsteuer erst nach Bezahlung der Rechnung in Anspruch genommen werden kann, bleibt mehr Zeit, den organisierten Umsatzsteuerbetrug effizient zu bekämpfen.","605",NA
"Für mehr Dynamik in der wirtschaftlichen Entwicklung unseres Landes sollen unternehmerische Umstrukturierungen nicht länger vom Steuerrecht behindert werden.","402",NA
"Die FDP schlägt vor, dass alle Umwandlungsvorgänge, wie insbesondere die Einbringung von Betrieben gegen Gewährung von Gesellschaftsanteilen, Veräußerungen von Gesellschaftsanteilen, Verschmelzungen oder Spaltungen von Unternehmen, so lange zu Buchwerten ohne Aufdeckung stiller Reserven erfolgen, wie keine Entnahme zum privaten Verbrauch stattfindet.","402",NA
"Dasselbe gilt für den Wechsel der Rechtsform.","402",NA
"Haushaltskonsolidierung endlich durchsetzen",NA,NA
"Ein Konzept für eine gerechte Steuer muss mit der Konsolidierung der Staatsfinanzen verbunden sein.","414",NA
"Sowohl eine Steuerstrukturreform","414",NA
"als auch die Konsolidierung der Staatsfinanzen sind gleichwertige politische Ziele.","414",NA
"Sie stehen nicht im Widerspruch, sondern sind zwei Seiten einer Medaille.","414",NA
"Es ist eine zentrale Frage von Generationengerechtigkeit, dass jede Generation ihre Aufgaben aus eigener Kraft bewältigt.","503",NA
"Es ist unverantwortlich, unseren Kindern immer höhere Schuldenberge zu hinterlassen.","414",NA
"Die Föderalismuskommission II hat einen Weg aus dem Schuldenstaat begonnen.","414",NA
"Um diesen konsequent zu Ende zu gehen, fordert die FDP ein prinzipielles Neuverschuldungsverbot für Bund, Länder und Gemeinden.","414",NA
"Die dauerhafte strukturelle Neuverschuldung des Bundes in Höhe von 0,35 Prozent des Bruttoinlandsprodukts ist angesichts der gegenwärtigen Rekordverschuldung keine nachhaltige Lösung.","414",NA
"Im Interesse künftiger Generationen müssen sich staatliche Ausgaben grundsätzlich an der Höhe der Einnahmen orientieren.","414",NA
"Neue Schulden sind nur in Notlagen zu verantworten.","414",NA
"In normalen Zeiten müssen Haushalte Überschüsse erwirtschaften, damit die Schulden vorheriger Jahre zurückgezahlt werden können und für schlechtere Jahre Vorsorge betrieben werden kann.","414",NA
"Föderale Strukturen stärken",NA,NA
"Der Föderalismus in Deutschland bietet große Chancen: mehr Bürgernähe, mehr Demokratie und den Wettbewerb als Methode, um die beste politische Lösung von drängenden Problemen zu finden.","301",NA
"Dazu sind besonders die Finanzbeziehungen zwischen Bund und den Ländern, innerhalb der Bundesländer und zwischen Ländern und Kommunen neu zu ordnen.","301",NA
"Das bedeutet vor allem: mehr Steuerautonomie für alle Gebietskörperschaften.","301",NA
"Für die Zukunft ist deshalb ein Steuerzuschlag der Länder und Kommunen mit eigenem Hebesatzrecht auf das zuvor abgesenkte Einkommen- und Körperschaftsteueraufkommen vorzusehen.","301",NA
"Die neue Erbschaftsteuer belastet den Mittelstand und die Familienunternehmen in besonderem Maße – dabei war gerade ihnen Entlastung versprochen worden.","402",NA
"Geschwister zählen neuerdings nicht mehr zur Familie und werden steuerlich wie Fremde behandelt.","305",NA
"In Zeiten, in denen unsere Nachbarländer die Erbschaftsteuer abschaffen, kann sich Deutschland eine solch standort- und bürgerfeindliche Steuerpolitik nicht leisten.","402",NA
"Die FDP will stattdessen die Erbschaftsteuer zu einer echten Ländersteuer machen.","301",NA
"Die Länder können so viel besser auf regionale Unterschiede – beispielsweise bei den Immobilienwerten – eingehen.","301",NA
"Die Länder können selbst entscheiden, ob und in welcher Höhe sie Erbschaftsteuer erheben.","301",NA
"Einnahmen aus der Erbschaftsteuer fließen vollständig in den Haushalt des jeweiligen Landes und bleiben beim Länderfinanzausgleich außen vor.","301",NA
"Das ist gleichzeitig ein wichtiger Beitrag zur Stärkung der Finanzautonomie der Länder.","301",NA
"Bürgergeld – die Chancen auf Teilhabe jedes Einzelnen stärken",NA,NA
"Das Bürgergeld ermöglicht ein selbstbestimmtes Leben, fördert die Aufnahme einer eigenen Tätigkeit und ist deshalb leistungsgerecht.","401",NA
"Sozialleistungen, die sich aus Steuern finanzieren, sollen möglichst vollständig in einer einzigen Transferleistung – dem Bürgergeld – zusammengefasst werden.","303",NA
"Damit ist das Bürgergeld einfach und transparent.","303",NA
"Im Bürgergeld werden das Arbeitslosengeld II einschließlich der Leistungen für Wohnen und Heizung, das Sozialgeld, die Grundsicherung im Alter, die Sozialhilfe (ohne Sozialhilfe in besonderen Lebenslagen), der Kinderzuschlag und das Wohngeld zusammengefasst.","303",NA
"Die Leistungen werden beim Bürgergeld grundsätzlich pauschaliert gewährt","303",NA
"und von einer einzigen Behörde, dem Finanzamt, verwaltet.","303",NA
"Das Bürgergeld sichert die Lebensgrundlage für Bürger, die nicht über ein ausreichendes Einkommen verfügen.","504",NA
"Durch die Zusammenfassung und Pauschalierung von Leistungen und ihrer Verwaltung in einer Behörde werden diejenigen vom Bürgergeld profitieren, die dies nach unserem Willen sollen: die Bedürftigen, nicht die Findigen.","503",NA
"Der Bürgergeldanspruch für einen Alleinstehenden ohne Kinder soll im Bundesdurchschnitt 662 Euro pro Monat betragen.","504",NA
"Dieser Betrag entspricht den heutigen durchschnittlichen Ausgaben für Grundleistung, Unterkunft und Heizung eines ALG-II-Empfängers.","504",NA
"Bei der Berechnung des Bürgergeldanspruches werden alle Erwachsenen und Kinder einer so genannten Bedarfsgemeinschaft berücksichtigt.","504",NA
"Zur Bedarfsgemeinschaft zählen alle Personen, die in einem Haushalt leben, soweit sie sich unterhaltsverpflichtet sind.","504",NA
"Kinder erhalten dabei einen eigenen Bürgergeldanspruch im Rahmen der Bedarfsgemeinschaft.","504",NA
"Zusätzliche Pauschalen werden bei Nichterwerbsfähigkeit, für Ausbildung oder bei Behinderungen gewährt.","504",NA
"Regionale Besonderheiten bei den Wohnkosten können mit Zuschlägen berücksichtigt werden.","504",NA
"Das Bürgergeld wird vom Finanzamt berechnet und ausgezahlt.","303",NA
"In die Berechnung einbezogen werden dabei auch Steueransprüche, Kindergeldansprüche und gegebenenfalls Unterstützungsleistungen zur Kranken- oder Pflegeversicherung.","505",NA
"Voraussetzung für das Bürgergeld sind Bedürftigkeit und bei Erwerbsfähigkeit die Bereitschaft zur Aufnahme einer Beschäftigung.","505",NA
"Bei Ablehnung einer zumutbaren angebotenen Arbeit wird das Bürgergeld gekürzt.","505",NA
"Durch das Bürgergeld soll die Aufnahme einer eigenen Erwerbstätigkeit stärker gefördert und anerkannt werden als bisher.","401",NA
"Dazu soll die Anrechnung eigenen Arbeitseinkommens auf das Bürgergeld neu ausgestaltet werden.","401",NA
"Für den erwerbsfähigen Alleinstehenden ohne Mehrbedarf wird ein Freibetrag von 100 Euro gewährt.","401",NA
"Darüber hinaus bleiben vom eigenen Einkommen bis 600 Euro 40 Prozent des Bruttoarbeitseinkommens anrechnungsfrei; von 600 Euro bis zum Auslaufen des Bürgergeldes 60 Prozent des Bruttoarbeitseinkommens.","401",NA
"Wir wollen zugleich die private Altersvorsorge gegenüber staatlichem Zugriff besser schützen.","401",NA
"Dazu soll das Schonvermögen für private oder betriebliche Altersvorsorge einschließlich der Riester- und Rürup-Renten verdreifacht werden und 750 Euro je Lebensjahr betragen.","503",NA
"Zusätzlich bleibt sonstiges Vermögen bis zu 250 Euro je Lebensjahr bei Berechnung des Bürgergeldes anrechnungsfrei.","401",NA
"Wir wollen jede Erwerbstätigkeit fördern und sie gegenüber dem Erhalt von Transferleistungen besserstellen.","401",NA
"Wir wollen die Einkommensgrenze für Minijobs ohne Abgaben für Arbeitnehmer von bisher 400 auf 600 Euro erhöhen.","701",NA
"Bei Einkommen zwischen 600 und 1000 Euro muss der Arbeitnehmer gleitend ansteigende Sozialabgaben bezahlen.","701",NA
"Volle Sozialversicherungsbeiträge sind bei Einkommen über 1000 Euro zu entrichten.","503",NA
"Je nach Höhe des Einkommens werden Sozialversicherungsbeiträge und Steuern fällig.","503",NA
"In Verbindung mit unserem Steuerkonzept wird sichergestellt, dass sich die Aufnahme einer Arbeit immer lohnt – auch bei Aufnahme einer gering bezahlten Tätigkeit.","401",NA
"Unser Bürgergeld sorgt für ein Mindesteinkommen, das Beschäftigung fördert und Arbeitseinkommen nicht benachteiligt.","401",NA
"Dieses Mindesteinkommen verhindert Armut besser als staatlich verordnete Mindestlöhne.","504",NA
