label,color,dim2,size,dim1
Madagascar,#FF0000,59443,19167654,1044.770126
Malawi,#FF0000,48303,13327079,759.3499101
Malaysia,#0000FF,74241,24821286,12451.6558
Mali,#FF0000,54467,12031795,1042.581557
Mauritania,#FF0000,64164,3270065,1803.151496
Mauritius,#FF0000,72801,1250882,10956.99112
Mexico,#FF00FF,76195,108700891,11977.57496
Mongolia,#0000FF,66803,2874127,3095.772271
Montenegro,#00FF00,74543,684736,9253.896111
Morocco,#FF0000,71164,33757175,3820.17523
Mozambique,#FF0000,42082,19951656,823.6856205
Myanmar,#0000FF,62069,47761980,944
Namibia,#FF0000,52906,2055080,4811.060429
Nepal,#0000FF,63785,28901790,1091.359778
Netherlands,#00FF00,79762,16570613,36797.93332
New Zealand,#FFFF00,80204,4115771,25185.00911
Nicaragua,#FF00FF,72899,5675356,2749.320965
Niger,#FF0000,56867,12894865,619.6768924
Nigeria,#FF0000,46859,135031164,2013.977305
Norway,#00FF00,80196,4627926,49357.19017
Oman,#0000FF,75.64,3204897,22316.19287
Pakistan,#0000FF,65483,169270617,2605.94758
Panama,#FF00FF,75537,3242173,9809.185636
Paraguay,#FF00FF,71752,6667147,4172.838464
Peru,#FF00FF,71421,28674757,7408.905561
Philippines,#0000FF,71688,91077287,3190.481016
Poland,#00FF00,75563,38518241,15389.92468
Portugal,#00FF00,78098,10642836,20509.64777
Puerto Rico,#FF00FF,78746,3942491,19328.70901
Reunion,#FF0000,76442,798094,7670.122558
Romania,#00FF00,72476,22276056,10808.47561
Rwanda,#FF0000,46242,8860588,863.0884639
Sao Tome and Principe,#FF0000,65528,199579,1598.435089
Saudi Arabia,#0000FF,72777,27601038,21654.83194
Senegal,#FF0000,63062,12267493,1712.472136
Serbia,#00FF00,74002,10150265,9786.534714
Sierra Leone,#FF0000,42568,6144562,862.5407561
Singapore,#0000FF,79972,4553009,47143.17964
Slovak Republic,#00FF00,74663,5447502,18678.31435
Slovenia,#00FF00,77926,2009245,25768.25759
Somalia,#FF0000,48159,9118773,926.1410683
South #FF0000,#FF0000,49339,43997828,9269.657808
Spain,#00FF00,80941,40448191,28821.0637
Sri Lanka,#0000FF,72396,20378239,3970.095407
Sudan,#FF0000,58556,42292929,2602.394995
Swaziland,#FF0000,39613,1133066,4513.480643
Sweden,#00FF00,80884,9031088,33859.74835
Switzerland,#00FF00,81701,7554661,37506.41907
Syria,#0000FF,74143,19314747,4184.548089
Taiwan,#0000FF,78.4,23174294,28718.27684
Tanzania,#FF0000,52517,38139640,1107.482182
Thailand,#0000FF,70616,65068149,7458.396327
Togo,#FF0000,58.42,5701579,882.9699438
Trinidad and Tobago,#FF00FF,69819,1056608,18008.50924
Tunisia,#FF0000,73923,10276158,7092.923025
Turkey,#00FF00,71777,71158647,8458.276384
Uganda,#FF0000,51542,29170398,1056.380121
United Kingdom,#00FF00,79425,60776238,33203.26128
United States,#FF00FF,78242,301139947,42951.65309
Uruguay,#FF00FF,76384,3447496,10611.46299
Venezuela,#FF00FF,73747,26084662,11415.80569
Vietnam,#0000FF,74249,85262356,2441.576404
West Bank and Gaza,#0000FF,73422,4018332,3025.349798
"Yemen, Rep.",#0000FF,62698,22211743,2280.769906
Zambia,#FF0000,42384,11746035,1271.211593
Zimbabwe,#FF0000,43487,12311143,469.7092981
